"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749818970763835E9,"2025-06-13 14:49:30.764 UTC+02:00"
"PAUSE",9.837364082083368E2,1.749819954498614E9,"2025-06-13 15:05:54.499 UTC+02:00"
