"Time (s)","Distance (cm)"
3.116887494E-2,5.000000000E0
2.168856083E0,5.000000000E0
4.369866208E0,0.000000000E0
5.450651333E0,5.000000000E0
6.214824417E0,0.000000000E0
1.026925870E3,5.000000000E0
