"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.743323417E0,1.942606449E0,-8.722367287E-1,-8.119264841E-1
1.763177417E0,1.341014028E0,-7.568317056E-1,-1.434653550E-1
1.783030417E0,4.552592635E-1,-8.823339641E-2,7.396286130E-1
1.802883417E0,2.736530006E-1,-4.996688664E-1,3.502779305E-1
1.822737417E0,4.523907974E-2,-4.652732313E-1,2.629694939E-1
1.842590417E0,-1.036226004E-1,-3.043153882E-1,4.405785799E-1
1.862443417E0,-3.595525920E-1,-3.247677088E-1,5.596038103E-1
1.882296417E0,-6.475366950E-1,1.105436981E-1,4.668321013E-1
1.902150417E0,-8.116973937E-2,1.855523884E-1,4.910572171E-1
1.922003417E0,6.514940858E-1,-1.473821402E-1,2.154301405E-1
1.941856417E0,6.325958967E-1,-6.980790198E-2,-1.561679598E-2
1.961709417E0,2.978077531E-1,2.597869337E-1,-1.499941349E-1
1.981563417E0,3.680212200E-1,6.997842193E-1,-2.683722973E-1
2.001416417E0,3.422951102E-1,1.102138758E0,-5.891610384E-1
2.021269417E0,-1.339585334E-1,1.144334555E0,-3.190266788E-1
2.041122417E0,-6.320359111E-1,1.296543956E0,-1.142568216E-1
2.060976417E0,-4.154935181E-1,8.986555934E-1,-3.181563914E-1
2.080829417E0,-3.575356305E-1,5.019126534E-1,-2.981744409E-1
2.100682417E0,-5.611879826E-1,4.796870649E-1,-3.534111381E-1
2.120535875E0,-1.618041039E0,1.118846297E0,-4.078469276E-1
2.140388875E0,-2.320540667E0,1.220359802E0,-4.984781444E-1
2.184482250E0,-1.359787732E-1,-3.033118546E-1,5.029847473E-2
2.204336250E0,-2.704649270E-1,-4.604685903E-1,1.195549890E-1
2.224189250E0,-3.483821452E-1,-7.197690606E-1,1.397861689E-1
2.244042250E0,-6.465800405E-1,-9.092556238E-1,1.728850454E-1
2.263896250E0,-9.750141501E-1,-8.304524422E-1,2.720232904E-1
2.283749250E0,-1.125040293E0,-8.038303256E-1,4.218051136E-1
2.303602250E0,-1.342086554E0,-7.656360269E-1,6.339192390E-1
2.323456250E0,-1.479285240E0,-4.207383692E-1,5.143555403E-1
2.343309250E0,-1.333652258E0,-1.735087633E-1,5.171793699E-1
2.363162250E0,-9.359159470E-1,-1.789855063E-1,5.682618618E-1
2.383016250E0,-5.690649748E-1,-2.256336659E-1,6.047938466E-1
