"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749997040473655E9,"2025-06-15 16:17:20.474 UTC+02:00"
"PAUSE",1.281368192499998E3,1.749998321838924E9,"2025-06-15 16:38:41.839 UTC+02:00"
