"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749817903141454E9,"2025-06-13 14:31:43.141 UTC+02:00"
"PAUSE",2.166610041633248E0,1.749817905308043E9,"2025-06-13 14:31:45.308 UTC+02:00"
"START",2.166610041633248E0,1.749817907601653E9,"2025-06-13 14:31:47.602 UTC+02:00"
"PAUSE",1.029176888791611E3,1.749818934611719E9,"2025-06-13 14:48:54.612 UTC+02:00"
