"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748949404619946E9,"2025-06-03 13:16:44.620 UTC+02:00"
"PAUSE",8.172281128333416E2,1.748950221845897E9,"2025-06-03 13:30:21.846 UTC+02:00"
