"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748969520272103E9,"2025-06-03 18:52:00.272 UTC+02:00"
"PAUSE",3.529382423750067E2,1.748969873210992E9,"2025-06-03 18:57:53.211 UTC+02:00"
