"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.852817792E0,-1.794696045E1,4.637750244E1,-1.371604919E1
1.872887792E0,-1.745040894E1,4.646547699E1,-1.201768494E1
1.892956792E0,-1.678813934E1,4.666429138E1,-1.017519379E1
1.913026792E0,-1.583911133E1,4.713589478E1,-8.536842346E0
1.933096792E0,-1.476234436E1,4.757085037E1,-7.464057922E0
1.953166792E0,-1.424203491E1,4.769295502E1,-6.211601257E0
1.973236792E0,-1.303572845E1,4.787133789E1,-4.350021362E0
1.993306792E0,-1.248185730E1,4.774042130E1,-2.579238892E0
2.013375792E0,-1.168233490E1,4.766383743E1,-9.560470581E-1
2.033445792E0,-1.073647308E1,4.691584015E1,6.743621826E-2
2.053515792E0,-1.060104370E1,4.675868225E1,1.048706055E0
2.073585792E0,-9.737396240E0,4.591267395E1,2.133567810E0
2.093654792E0,-9.263023376E0,4.543718338E1,3.396598816E0
2.113724792E0,-8.278640747E0,4.482599258E1,4.142807007E0
2.133794792E0,-8.594032288E0,4.433981323E1,4.675109863E0
2.153864792E0,-9.740089417E0,4.366454697E1,5.401893616E0
2.173933792E0,-1.111736298E1,4.298545837E1,5.564353943E0
2.194003792E0,-1.276168823E1,4.192610931E1,5.804420471E0
2.214073792E0,-1.421447754E1,4.064818573E1,6.297813416E0
2.234143792E0,-1.509463501E1,3.984415817E1,7.833190918E0
2.254212792E0,-1.631375122E1,3.842370987E1,8.910697937E0
2.274282792E0,-1.664978790E1,3.754001999E1,1.016954803E1
2.294352792E0,-1.774154663E1,3.636566162E1,1.210062408E1
2.314422792E0,-1.908219910E1,3.468380737E1,1.347758484E1
2.334491792E0,-2.010250092E1,3.364920807E1,1.509576416E1
2.354561792E0,-2.174352264E1,3.306769180E1,1.623365021E1
2.374631792E0,-2.311215973E1,3.245005417E1,1.710253906E1
2.394701792E0,-2.411666107E1,3.214230347E1,1.740210724E1
2.414770792E0,-2.462317657E1,3.155802727E1,1.687773895E1
2.434840792E0,-2.557569122E1,3.122255516E1,1.623780823E1
2.454910792E0,-2.633917999E1,3.146030235E1,1.579623413E1
2.474980792E0,-2.742584991E1,3.223564911E1,1.519509125E1
2.495049792E0,-2.815671539E1,3.289355469E1,1.490780640E1
2.515119792E0,-2.876837921E1,3.353059006E1,1.389570618E1
2.535189792E0,-2.931790924E1,3.465889359E1,1.300313568E1
2.555259792E0,-3.046872711E1,3.523528290E1,1.191074371E1
2.575328792E0,-3.209308624E1,3.518864441E1,1.125436401E1
2.595398792E0,-3.392967987E1,3.545096207E1,1.145311737E1
2.615468792E0,-3.564340973E1,3.479557037E1,1.288651276E1
2.635538792E0,-3.614899445E1,3.473387146E1,1.480590057E1
2.655608083E0,-3.636969757E1,3.455908203E1,1.668978882E1
2.675678083E0,-3.631917572E1,3.416246796E1,1.873912811E1
2.695748083E0,-3.543955231E1,3.458299255E1,2.007089233E1
2.715818083E0,-3.480770111E1,3.499167633E1,2.024098206E1
2.735888083E0,-3.403649139E1,3.573271179E1,2.016743469E1
2.755957083E0,-3.308226776E1,3.637426376E1,1.917166138E1
2.776027083E0,-3.227735138E1,3.734621429E1,1.843340302E1
2.796097083E0,-3.100041962E1,3.824421692E1,1.859315491E1
2.816167083E0,-2.845159149E1,3.875663757E1,1.973093414E1
2.836236083E0,-2.579012299E1,3.869643402E1,2.091382599E1
2.856306083E0,-2.324593353E1,3.922262192E1,2.092144775E1
2.876376083E0,-1.955893707E1,3.950842285E1,2.119438171E1
2.896446083E0,-1.604483795E1,3.973603821E1,2.033477783E1
2.916515083E0,-1.453474426E1,3.975669861E1,1.863432312E1
2.936585083E0,-1.336425018E1,3.996084595E1,1.646997070E1
2.956655083E0,-1.246918488E1,3.992556763E1,1.410124969E1
2.976725083E0,-1.158258820E1,4.019170380E1,1.180601501E1
2.996795083E0,-1.031118011E1,4.069921494E1,9.330268860E0
3.016864083E0,-9.709396362E0,4.137567139E1,6.792419434E0
3.036934083E0,-9.134452820E0,4.201749420E1,5.319129944E0
3.057004083E0,-7.850639343E0,4.225483704E1,3.987960815E0
3.077074083E0,-6.241600037E0,4.277780533E1,3.415527344E0
3.097144083E0,-5.141944885E0,4.277899170E1,2.958984375E0
3.117213083E0,-4.818527222E0,4.284567261E1,3.396026611E0
3.137283083E0,-5.099700928E0,4.333584976E1,4.101608276E0
3.157353083E0,-5.181411743E0,4.347979355E1,4.285530090E0
3.177423083E0,-5.379188538E0,4.391506195E1,5.305091858E0
3.197492083E0,-5.543472290E0,4.473390961E1,6.538391113E0
3.217562083E0,-5.773918152E0,4.537274170E1,7.040107727E0
3.237632083E0,-5.653244019E0,4.616794586E1,8.288246155E0
3.257702083E0,-6.057723999E0,4.690878677E1,1.012492371E1
3.277772083E0,-5.797813416E0,4.720288467E1,1.203950500E1
3.297841083E0,-6.105697632E0,4.719036102E1,1.320252991E1
3.317911083E0,-6.345817566E0,4.717889023E1,1.525959778E1
3.337981083E0,-5.980323792E0,4.692594910E1,1.594772339E1
3.358051083E0,-5.753692627E0,4.640415192E1,1.689914703E1
3.378120083E0,-5.099143982E0,4.584759521E1,1.769476318E1
3.398190083E0,-4.793785095E0,4.559215164E1,1.902811432E1
3.418260083E0,-4.402381897E0,4.480995178E1,1.896917725E1
3.438330083E0,-4.632919312E0,4.411079788E1,1.943891144E1
3.458400083E0,-4.783401489E0,4.338829803E1,1.918445587E1
3.478470083E0,-5.369209290E0,4.232974243E1,1.921051788E1
3.498539083E0,-5.700653076E0,4.114006042E1,1.947138977E1
3.518609083E0,-6.388603210E0,4.013935089E1,1.992865753E1
3.538679083E0,-6.219482422E0,3.955565262E1,2.034792328E1
3.558749083E0,-5.769317627E0,3.910475922E1,2.041347504E1
3.578818083E0,-4.043029785E0,3.860958099E1,2.068386078E1
3.598888083E0,-2.048576355E0,3.861615372E1,1.966277313E1
3.618958083E0,-8.158187866E-1,3.816857529E1,1.881455994E1
3.639028083E0,3.938293457E-2,3.712855911E1,1.886445618E1
3.659098792E0,6.220016479E-1,3.574924850E1,1.894721222E1
