"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.491563083E0,-1.030117869E0,-1.239202261E0,9.781115055E-1
1.511633083E0,-9.464834929E-1,-1.188381433E0,8.459662199E-1
1.531702083E0,-9.872699976E-1,8.411801606E-2,1.230986953E0
1.551772083E0,-1.078943968E0,-2.808425426E-1,1.472810388E0
1.571842083E0,-8.962513208E-1,-1.614296287E-1,3.162994981E-1
1.591911083E0,-9.529231191E-1,-1.770988107E-1,1.221698970E-1
1.611981083E0,-6.924833059E-1,-4.687351882E-1,2.928003967E-1
1.632051083E0,-2.815027833E-1,-6.298605800E-1,4.374935329E-1
1.652120792E0,-3.909728527E-1,-7.194988728E-1,8.156923056E-1
1.672189792E0,-7.209051251E-1,-7.574046254E-1,1.426136851E0
1.692259792E0,-5.963895321E-1,-7.915902138E-1,1.291862249E0
1.712329792E0,-5.663612485E-1,-5.251542330E-1,8.707873821E-1
1.732398792E0,-7.602550387E-1,-6.531217694E-1,7.766015530E-1
1.752468792E0,-7.036862969E-1,-8.403315544E-1,9.796910286E-1
1.772538792E0,-4.199200273E-1,-8.823252916E-1,1.147857666E0
1.792608792E0,-3.836444020E-1,-7.174945474E-1,1.151112199E0
1.812677792E0,-6.131358743E-1,-4.955349565E-1,1.086617589E0
1.832747792E0,-8.969611526E-1,-1.275106072E-1,9.593408704E-1
1.852817792E0,-1.333679438E0,-3.540317118E-1,7.377260327E-1
1.872887792E0,-1.611052632E0,-1.205927610E0,8.168202639E-1
1.892956792E0,-1.331399441E0,-1.993579626E0,1.136310458E0
1.913026792E0,-9.851667881E-1,-2.358529091E0,1.383894205E0
1.933096792E0,-9.869897366E-1,-2.416727781E0,1.405847073E0
1.953166792E0,-1.404820323E0,-2.061865330E0,1.305720568E0
1.973236792E0,-1.815413475E0,-1.650376320E0,1.194375277E0
1.993306792E0,-1.616065383E0,-8.147628903E-1,8.100541830E-1
2.013375792E0,-1.395998240E0,2.950299084E-1,2.910944223E-1
2.033445792E0,-1.569958448E0,1.041804671E0,2.193439454E-1
2.053515792E0,-1.789367199E0,1.513419867E0,5.837035179E-1
2.073585792E0,-1.711246371E0,1.452494144E0,9.292969108E-1
2.093654792E0,-1.257360935E0,7.263380289E-1,1.019555569E0
2.113724792E0,-6.080836058E-1,6.825151443E-1,-1.109770089E-1
2.133794792E0,-1.104039550E0,3.263894841E-2,-1.239791393E0
2.153864792E0,-9.412706494E-1,4.180336297E-1,-2.090371847E0
2.173933792E0,-8.590855598E-1,4.082127213E-1,-2.190551758E0
2.194003792E0,-6.979320645E-1,-5.996217728E-1,-2.152292967E0
2.214073792E0,-8.324083686E-1,-1.670518160E0,-1.881964445E0
2.234143792E0,-1.241727114E0,-2.000787258E0,-1.570926785E0
2.254212792E0,-1.650677800E0,-2.397997856E0,-1.422054172E0
2.274282792E0,-1.797249317E0,-2.281655312E0,-1.347341895E0
2.294352792E0,-2.461846590E0,-1.178469181E0,-1.581094503E0
2.314422792E0,-2.395808697E0,-5.887499452E-1,-1.460729122E0
2.334491792E0,-1.654040575E0,-6.729247570E-1,-1.338569403E0
2.354561792E0,-1.097612381E0,-1.876892000E-1,-1.263653994E0
2.374631792E0,-6.212540269E-1,3.048650026E-1,-1.235803723E0
2.394701792E0,-8.323710412E-2,4.454246759E-1,-1.017681956E0
2.414770792E0,1.430857480E-1,1.118960261E0,-7.052139640E-1
2.434840792E0,1.822717488E-1,1.345914006E0,-4.992820621E-1
2.454910792E0,3.710747957E-1,7.725410461E-1,-6.379314661E-1
2.474980792E0,3.579946756E-1,1.501389444E-1,-1.033342123E0
2.495049792E0,3.272926509E-1,-1.844587624E-1,-6.005305052E-1
2.515119792E0,2.104058862E-1,4.182374179E-1,1.480592638E-1
2.535189792E0,3.367090523E-1,7.800180912E-1,8.944386616E-3
2.555259792E0,3.247873783E-1,4.446752667E-1,-4.128404856E-1
2.575328792E0,8.699030280E-1,-1.710331202E0,-1.334539652E0
2.595398792E0,1.294933200E0,-3.587461948E0,-1.856161594E0
2.615468792E0,1.149804831E0,-4.195665359E0,-1.265394211E0
2.635538792E0,4.273453951E-1,-2.645560741E0,-1.010879517E0
2.655608083E0,-7.814353108E-1,-1.597212553E0,-2.641086280E-1
2.675678083E0,-4.608388841E-1,-1.653115869E0,2.307003587E-1
2.695748083E0,1.456950307E-1,-7.635464072E-1,7.196754813E-1
2.715818083E0,5.871968865E-1,-1.227098554E-1,1.162045717E0
2.735888083E0,8.353804946E-1,8.546749949E-1,1.564531803E0
2.755957083E0,1.212837934E0,6.804033518E-1,1.456969023E0
2.776027083E0,1.160708904E0,2.616377547E-2,1.342099905E0
2.796097083E0,7.839647681E-2,-4.866034165E-2,1.927571416E0
2.816167083E0,-5.608584881E-1,4.544732347E-2,2.342791796E0
2.836236083E0,1.502198130E-1,-2.297958732E-2,1.943686485E0
2.856306083E0,6.172186136E-1,-1.050705194E0,2.393546581E0
2.876376083E0,5.399829745E-1,-2.042339325E0,2.582599163E0
2.896446083E0,1.438550115E0,-1.884717822E0,9.750844836E-1
2.916515083E0,1.730982661E0,-1.892892718E0,-2.920361757E-1
2.936585083E0,1.201134801E0,-4.567781985E-1,8.061620593E-1
2.956655083E0,1.270833015E0,-1.290140152E-1,1.619746566E0
2.976725083E0,1.692164898E0,-4.420122504E-1,2.512745142E0
2.996795083E0,2.220111847E0,-1.317488790E0,2.485052586E0
3.016864083E0,1.914472342E0,-1.075247765E0,2.443878889E0
3.036934083E0,8.805962801E-1,-8.987229317E-3,3.265222073E0
3.057004083E0,7.903338671E-1,1.667652249E0,4.038241386E0
3.077074083E0,3.244448602E-1,1.270662189E0,3.731051445E0
3.097144083E0,-1.755553931E-1,8.521615863E-1,1.880893469E0
3.117213083E0,-6.790913939E-1,8.453013301E-1,3.888791502E-1
3.137283083E0,-9.173743129E-1,1.359125376E0,2.528282404E-1
3.157353083E0,-1.113565803E0,1.567571163E0,4.449204206E-1
3.177423083E0,-1.100924969E0,1.013647199E0,4.336390495E-1
3.197492083E0,-1.286967695E-1,-1.987011731E-1,-1.307341903E-1
3.217562083E0,-5.551972240E-2,-4.655096829E-1,-2.165438235E-1
3.237632083E0,-3.945463598E-1,1.095444113E-1,-2.829613388E-1
3.257702083E0,-6.823486686E-1,8.929650784E-1,-1.744949073E-1
3.277772083E0,-8.738803864E-1,1.443126678E0,-9.016681463E-2
3.297841083E0,-9.746223092E-1,1.606037140E0,-7.199238241E-2
3.317911083E0,-7.579447031E-1,1.339836001E0,-1.770341396E-1
3.337981083E0,-3.254908323E-1,8.108931780E-1,-3.986325562E-1
3.358051083E0,4.082191736E-4,1.486185044E-1,-7.108690143E-1
3.378120083E0,2.990530990E-2,-2.583598495E-1,-8.608517051E-1
3.398190083E0,-1.390449256E-1,-2.291070074E-1,-8.729131222E-1
3.418260083E0,-2.507561445E-1,-3.934494257E-1,-9.734916091E-1
3.438330083E0,-2.644923925E-1,-7.849997878E-1,-1.189400315E0
3.458400083E0,-7.309724689E-1,-9.830926061E-1,-1.203059912E0
3.478470083E0,-9.157316685E-1,-4.218927026E-2,-6.712229252E-1
3.498539083E0,-5.418370366E-1,7.550872564E-1,-1.817796528E-1
3.518609083E0,9.839095175E-3,5.607306585E-2,8.479614556E-2
3.538679083E0,4.278186560E-1,-6.611838937E-1,5.161653161E-1
3.558749083E0,8.216912150E-1,-5.761148930E-1,1.278516054E0
3.578818083E0,1.150305271E0,-8.162863255E-1,1.953956842E0
3.598888083E0,7.792134881E-1,-4.044652581E-1,1.820599198E0
3.618958083E0,9.625585377E-2,1.033200741E0,1.731087923E0
3.639028083E0,-5.010706186E-1,2.301146984E0,2.042581797E0
3.659098792E0,-7.905645370E-1,3.139589548E0,2.247727633E0
3.679168792E0,-7.203879356E-1,2.927846193E0,1.734718919E0
3.699237792E0,-9.348325133E-1,1.595732331E0,-2.264380306E-1
3.719307792E0,-1.044410348E0,3.253115118E-1,-1.711795211E0
3.739377792E0,-1.205819845E0,3.459249437E-1,-1.647419691E0
3.759447792E0,-1.136988282E0,2.804250717E-1,-1.315320611E0
3.779516792E0,-1.174882889E0,-2.754194140E-1,-1.708632946E0
3.799586792E0,-1.252355695E0,-7.822017074E-1,-2.708211899E0
3.819656792E0,-4.764928222E-1,-5.131058693E-1,-2.369114876E0
3.839726792E0,-4.855434895E-1,-3.416984156E-2,-1.146103024E0
3.859796792E0,-1.599990726E0,8.613597155E-1,-1.245402455E0
3.879866792E0,-2.215502739E0,1.364394665E0,-1.550214648E0
3.899935792E0,-2.448110342E0,3.433272541E-1,-1.814304829E0
3.920005792E0,-1.559648514E0,-3.152676225E-1,-2.160004139E0
3.940075792E0,3.691468537E-1,-4.420696497E-1,-1.747338295E0
3.960145792E0,8.664556146E-1,-5.730680823E-1,-1.971720099E0
3.980215792E0,4.413320422E-1,-1.440013051E0,-2.143864632E0
4.000284792E0,4.007332623E-1,-1.299174428E0,-1.595263600E0
4.020354792E0,-3.193736076E-1,2.064136090E-3,-6.834154725E-1
4.040424792E0,-7.074698806E-1,7.536780238E-1,-6.528255939E-1
4.060494792E0,-4.943071902E-1,2.077479810E-1,-8.588395119E-1
4.080564792E0,-2.497178763E-1,-2.260659188E-1,-8.453875184E-1
4.100634792E0,-3.269519210E-1,-1.848905236E-1,-8.019852638E-1
4.120703792E0,-3.697139323E-1,-1.140858904E-1,-7.709360123E-1
4.140773792E0,-3.348043859E-1,1.257295441E-2,-6.381369233E-1
4.160843792E0,-7.400605083E-2,1.527907103E-1,-5.997791886E-1
4.180913792E0,3.291045427E-1,1.371242851E-1,-5.709736943E-1
4.200983792E0,6.845302582E-1,-1.374374479E-1,-6.131776571E-1
4.221052792E0,7.390227914E-1,-2.479112297E-1,-5.541105866E-1
4.241122792E0,5.664760470E-1,-5.942953005E-2,-4.228781760E-1
4.261192792E0,1.514577866E-1,-4.693451151E-2,-3.622304499E-1
4.281262792E0,-5.935865641E-1,-4.490121603E-1,-3.430098593E-1
4.301332792E0,-7.867282629E-1,-7.511649132E-1,-2.470117062E-1
4.321402792E0,5.068886280E-2,-8.192980886E-1,2.152353711E-2
4.341471792E0,8.627151847E-1,3.457944095E-1,-5.594245195E-1
4.361541792E0,1.374573827E0,3.353185058E-1,-6.503161192E-1
4.381611792E0,5.692425370E-1,2.845419049E-1,-8.723399639E-1
4.401681792E0,-9.096333385E-1,-2.794564962E-1,3.482964262E-2
4.421751792E0,-1.100992322E0,-1.874560565E-1,-1.473761350E-1
4.441821792E0,-6.536450386E-1,9.542503953E-2,-3.796822131E-1
4.461890792E0,3.003329970E-2,-6.115319580E-2,-3.490895927E-1
4.481960792E0,2.800017297E-1,3.829582781E-2,-1.487848610E-1
4.502030792E0,-8.475463837E-2,9.413471818E-2,4.309895262E-2
4.522100792E0,-3.913106024E-1,-3.782231361E-2,6.879054010E-3
4.542170792E0,-4.876726866E-1,-1.347752064E-1,-1.048396602E-1
4.562240792E0,-3.029422760E-1,-1.195186451E-1,-1.937791705E-1
4.582309792E0,-1.054308843E-2,-1.181234047E-1,-2.121576369E-1
4.602379792E0,6.182966381E-2,-1.861856133E-1,-2.253568172E-1
4.622449792E0,2.416151017E-2,-1.526330411E-1,-1.373793185E-1
4.642519333E0,-5.941118672E-2,-3.023828566E-2,8.449220331E-5
4.662589333E0,-7.347154617E-2,-2.106596343E-2,7.129305974E-3
4.682659333E0,1.982868463E-2,-4.037860408E-2,-1.191777550E-2
4.702728333E0,9.384874254E-2,-6.685075909E-2,-5.097607523E-2
4.722798333E0,4.856163636E-2,-7.468492538E-2,-6.213594601E-2
4.742868333E0,-1.141760126E-1,-3.318960592E-2,-2.354644984E-2
4.762938333E0,-2.443918586E-1,1.250271313E-2,-1.636578888E-2
4.783008333E0,-1.167707518E-1,-1.055801883E-1,4.296129197E-2
4.803078333E0,4.516600072E-2,-8.685155958E-2,3.566385433E-2
4.823148333E0,-1.744940504E-2,-1.117653102E-1,1.994144917E-1
4.843217333E0,-3.396560252E-1,4.647251219E-3,2.401486635E-1
4.863287333E0,-2.677462995E-1,3.254479542E-2,1.053980812E-1
4.883357333E0,-3.378479183E-1,-6.469325162E-3,6.705063581E-2
4.903427333E0,-7.286328673E-1,1.503616273E-1,7.532626390E-2
4.923497333E0,-4.620390832E-1,3.063595593E-1,-1.271113306E-1
4.943567333E0,-2.600406706E-1,1.872350425E-1,-1.776939929E-1
4.963636333E0,-1.206134781E-1,1.354655027E-1,-9.737253934E-2
4.983706333E0,-3.022094630E-2,2.476689965E-2,-6.356834620E-2
5.003776333E0,3.014390822E-3,1.705288291E-1,-5.044653267E-2
5.023846333E0,2.239434570E-1,1.975997239E-1,-1.463110596E-1
5.043916333E0,4.271228909E-1,-4.813699424E-2,-2.741690278E-1
5.063986333E0,2.722640336E-1,-7.842539251E-2,-2.393651605E-1
5.084056333E0,2.844160609E-2,1.893594414E-1,-2.921226621E-1
5.104125333E0,2.256432921E-1,1.400586665E-1,-4.348374605E-1
5.124195333E0,6.777486205E-1,1.289470941E-1,-3.562297821E-1
5.144265333E0,9.140469432E-1,1.507947445E-1,-1.436577737E-2
5.164335333E0,8.932394981E-1,3.135961592E-1,6.128125191E-1
5.184405333E0,6.232336760E-1,4.510332644E-1,1.349718571E0
5.204475333E0,9.424783587E-1,8.111124039E-1,1.574447751E0
5.224545333E0,1.262400150E0,7.655437589E-1,8.186103106E-1
5.244614333E0,5.439479947E-1,1.949501485E-1,4.142567217E-1
5.264684333E0,4.767293930E-1,1.385615021E-1,1.033569425E-1
5.284754333E0,6.709262729E-1,-1.315109665E-3,-1.445612311E-1
5.304824333E0,3.516632318E-1,4.733265843E-3,9.979075193E-2
5.324894333E0,3.252438456E-2,2.494592220E-2,1.847393960E-1
5.344964333E0,-2.749004215E-2,1.540917903E-1,4.755479395E-1
5.365034333E0,4.458110929E-1,3.207137287E-1,8.608917594E-1
5.385104333E0,1.514259815E0,1.063500345E-1,1.261851549E0
5.405173333E0,1.449182868E0,3.663887382E-1,1.513997436E0
5.425243333E0,7.784483433E-1,2.754558325E-1,7.665967345E-1
5.445313333E0,-3.375905156E-1,-3.121175990E-2,4.118902981E-1
5.465383333E0,-4.672757089E-1,-6.754226983E-2,8.724024147E-2
5.485453333E0,1.098781154E-1,6.257039309E-2,-1.464847326E-1
5.505523333E0,1.050843596E-1,1.702413261E-1,-1.284556240E-1
5.525593333E0,-5.013394728E-2,6.500612199E-2,-1.335456967E-1
5.545662333E0,-2.320667356E-1,-7.232836634E-2,-1.322257519E-1
5.565732333E0,-3.666721582E-1,-2.430054396E-1,-1.951890588E-1
5.585802333E0,-3.387624025E-1,-2.907696962E-1,-2.718359828E-1
5.605872333E0,9.419798851E-2,-7.779629529E-2,-4.256983697E-1
5.625942333E0,3.048492074E-1,3.260799944E-1,-4.202744067E-1
5.646012708E0,-1.017828882E-1,-6.507112086E-2,-4.283107221E-1
5.666082708E0,-1.560157835E-1,3.320252299E-1,-1.510365605E-1
5.686152708E0,5.428554490E-2,3.876974285E-1,-1.166937053E-1
5.706221708E0,1.786670685E-1,4.249313176E-1,-7.995674014E-2
5.726291708E0,2.050390840E-1,4.732875526E-1,-8.484768122E-2
5.746361708E0,2.061426342E-1,4.499085844E-1,-9.442089498E-2
5.766431708E0,2.372218221E-1,4.859874249E-1,-1.228732616E-1
5.786501708E0,2.958708704E-1,5.725660920E-1,-1.811606735E-1
5.806571708E0,3.434438705E-1,6.039904952E-1,-2.178197354E-1
5.826641708E0,3.777334392E-1,6.264463663E-1,-2.762668431E-1
5.846711708E0,3.439472914E-1,5.863620639E-1,-2.943016291E-1
5.866780708E0,3.256876767E-1,5.641959906E-1,-3.056316078E-1
5.886850708E0,3.202281892E-1,5.816702247E-1,-2.596209049E-1
5.906920708E0,3.256349564E-1,5.859081149E-1,-2.045579404E-1
5.926990708E0,2.877970636E-1,4.960032701E-1,-1.317672580E-1
5.947060708E0,2.012403011E-1,3.751188219E-1,-3.750096262E-2
5.967130708E0,1.173085496E-1,2.437989712E-1,2.325287089E-2
5.987200708E0,5.571718141E-2,1.439932138E-1,6.391806901E-2
6.007270708E0,2.393036708E-2,7.852666080E-2,1.075768918E-1
6.027340708E0,9.224992990E-2,3.896812350E-2,2.558342647E-3
6.047409708E0,6.354296952E-2,-1.173139587E-1,9.295152128E-2
6.067479708E0,2.455281094E-2,-5.807446688E-2,1.658127308E-1
6.087549708E0,7.198702544E-2,8.189322054E-2,1.967264116E-1
6.107619708E0,1.307258010E-1,2.195652574E-1,1.816777289E-1
