"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.570553792E0,-1.559024900E-1,1.307325244E0,-9.872283340E-1
1.590405792E0,-4.805463552E-2,1.032280445E0,-7.524933219E-1
1.610257792E0,2.363288403E-1,-6.065025926E-1,1.786737442E-1
1.630109792E0,1.729090959E-1,-2.128540039E0,1.410966754E0
1.649961792E0,-2.913159505E-2,-3.171333313E0,1.885172725E0
1.669814792E0,-1.079214737E-1,-4.355192661E0,1.973637104E0
1.689667167E0,-1.403994262E-1,-5.130575657E0,1.755681038E0
1.709519167E0,-2.434557229E-1,-4.944741726E0,1.521846533E0
1.729371167E0,-3.113246858E-1,-3.743819237E0,1.582884312E0
1.749223167E0,-7.025001105E-4,-4.497453570E-1,1.599090338E0
1.769075167E0,3.209229112E-1,1.156050324E0,1.429577827E0
1.788927167E0,4.073024094E-1,1.486938477E0,1.107161641E0
1.808779167E0,4.424254596E-1,1.265189648E0,1.055054307E0
1.828632167E0,5.202592611E-1,1.008513451E0,1.305715084E0
1.848484167E0,7.073240280E-1,6.324954033E-1,1.692296028E0
1.868336167E0,8.612382412E-1,-3.209994733E-2,2.105444908E0
1.888188167E0,1.259719729E0,-7.755206823E-1,3.096252680E0
1.908040167E0,1.673471212E0,-7.096270919E-1,3.845605612E0
1.927892167E0,1.825648308E0,-1.176967740E0,2.589597225E0
1.947745167E0,1.739714026E0,-1.767157197E0,2.705925941E0
1.967597167E0,1.721409082E0,-2.213738918E0,3.670454741E0
1.987449167E0,8.279908299E-1,4.292522967E-1,3.484136820E0
2.007301167E0,2.202182859E-1,1.203003645E0,2.643232584E0
2.027153167E0,-1.061587408E-1,7.631447911E-1,1.877333283E0
2.047005167E0,-4.675146937E-1,4.719226807E-2,1.316774964E0
2.066857167E0,-1.101313829E0,-1.176374406E-1,5.482057929E-1
2.086710167E0,-1.366600633E0,1.654396772E0,-1.507939100E-1
2.106562167E0,-4.261609614E-1,5.166939259E0,-8.486901522E-1
2.126414167E0,-3.085372150E-1,6.059720516E0,4.432184994E-1
2.146266167E0,5.137628317E-1,2.439064026E0,1.252864718E0
2.166118167E0,-2.975766063E-1,-1.473107934E0,1.250682950E0
2.185970167E0,-7.401691675E-1,-1.946305275E0,6.417058706E-1
2.205823167E0,-4.165784121E-1,-4.716125727E-1,2.016548440E-2
2.225675167E0,-6.223659962E-2,-2.770864367E-1,6.013278365E-1
