"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750011426677696E9,"2025-06-15 20:17:06.678 UTC+02:00"
"PAUSE",8.951264499166573E2,1.750012321803293E9,"2025-06-15 20:32:01.803 UTC+02:00"
