"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748875748925456E9,"2025-06-02 16:49:08.925 UTC+02:00"
"PAUSE",2.626591999985976E0,1.748875751552029E9,"2025-06-02 16:49:11.552 UTC+02:00"
"START",2.626591999985976E0,1.748875754245506E9,"2025-06-02 16:49:14.246 UTC+02:00"
"PAUSE",5.131465619583323E2,1.748876264779271E9,"2025-06-02 16:57:44.779 UTC+02:00"
