"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749885861976667E9,"2025-06-14 09:24:21.977 UTC+02:00"
"PAUSE",9.602663367500063E2,1.749886822229691E9,"2025-06-14 09:40:22.230 UTC+02:00"
