"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.737959778E1,5.233907996E1,4.874134893E0,6.454827444E0,0.000000000E0,NaN,4.445659187E0,8.139082567E0
4.837958717E1,5.233907946E1,4.874135135E0,6.454827444E0,0.000000000E0,NaN,4.398730886E0,8.548929308E0
4.937957680E1,5.233907945E1,4.874135141E0,6.454827444E0,0.000000000E0,NaN,4.397679166E0,8.583744923E0
5.037956595E1,5.233907945E1,4.874135141E0,6.454827444E0,0.000000000E0,NaN,4.397671270E0,8.751189819E0
5.137955499E1,5.233907945E1,4.874135141E0,6.454827444E0,0.000000000E0,NaN,4.397608529E0,8.848553587E0
5.237954462E1,5.233907945E1,4.874135141E0,6.454827444E0,0.000000000E0,NaN,4.397592334E0,8.716187956E0
5.337953305E1,5.233907896E1,4.874135374E0,6.454827444E0,0.000000000E0,NaN,4.352011242E0,9.229925994E0
5.437952268E1,5.233907894E1,4.874135383E0,6.454827444E0,0.000000000E0,NaN,4.350168399E0,8.984415251E0
5.537951088E1,5.233907893E1,4.874135391E0,6.454827444E0,0.000000000E0,NaN,4.348732007E0,8.888368133E0
5.637949920E1,5.233907835E1,4.874135666E0,6.454827444E0,0.000000000E0,NaN,5.148102805E0,8.730652634E0
5.737948835E1,5.233905593E1,4.874146411E0,6.454827444E0,0.000000000E0,NaN,2.868250413E1,8.511653421E0
5.837947679E1,5.233905593E1,4.874146411E0,6.454827444E0,0.000000000E0,NaN,2.923176554E1,8.747511193E0
5.937946594E1,5.233905593E1,4.874146411E0,6.454827444E0,0.000000000E0,NaN,2.904493522E1,8.537554268E0
6.037945426E1,5.233906909E1,4.874186015E0,6.364125254E0,3.044160418E-2,NaN,2.903243821E1,8.459184623E0
6.137944245E1,5.233906302E1,4.874194076E0,6.384778596E0,3.425639974E-1,NaN,2.912520638E1,7.866502731E0
6.237943077E1,5.233905957E1,4.874198445E0,6.383375307E0,4.625390740E-1,NaN,2.894017473E1,7.089426132E0
6.337941945E1,5.233905379E1,4.874236763E0,6.419658561E0,1.095770293E0,1.068351405E2,2.870552107E1,6.411487698E0
6.437940729E1,5.233905509E1,4.874229763E0,6.416253814E0,0.000000000E0,1.068351349E2,2.797197878E1,5.958145371E0
6.537939465E1,5.233905509E1,4.874229763E0,6.416253814E0,0.000000000E0,1.068351349E2,2.778837786E1,5.737838087E0
6.637938333E1,5.233905509E1,4.874229763E0,6.416253814E0,0.000000000E0,1.068351349E2,2.768353453E1,5.545723451E0
6.737937093E1,5.233907042E1,4.874366749E0,6.472393855E0,3.606168789E0,8.410426523E1,1.973837345E1,5.509164128E0
6.837935925E1,5.233907463E1,4.874435613E0,6.530524231E0,4.537615553E0,8.563003637E1,1.993481539E1,5.183298078E0
6.937934732E1,5.233908647E1,4.874578743E0,6.599209217E0,6.089907015E0,8.662693268E1,1.663952988E1,5.136775845E0
7.037933469E1,5.233909327E1,4.874673861E0,6.622257440E0,6.784791325E0,8.606833984E1,1.696677403E1,4.945830135E0
7.137932312E1,5.233910163E1,4.874753898E0,6.668514645E0,8.113288286E0,8.488512792E1,1.600470753E1,4.105054357E0
7.237931061E1,5.233911160E1,4.874836883E0,6.738480648E0,9.588881379E0,8.492527107E1,1.442168473E1,5.435819973E0
