"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.785986792E0,-4.187482452E1,-2.539322662E1,-1.137835693E1
1.805840792E0,-4.171048737E1,-2.545019531E1,-1.025827789E1
1.825694792E0,-4.192752075E1,-2.565689087E1,-8.180786133E0
1.845548792E0,-4.218394470E1,-2.595944214E1,-5.984115601E0
1.865402792E0,-4.212525940E1,-2.565104675E1,-4.041496277E0
1.885255792E0,-4.223498535E1,-2.581655884E1,-1.763359070E0
1.905109792E0,-4.216108704E1,-2.565849304E1,-2.648277283E-1
1.924963792E0,-4.236977386E1,-2.562247467E1,8.329849243E-1
1.944817792E0,-4.232592010E1,-2.562372589E1,1.144920349E0
1.964671792E0,-4.245177460E1,-2.575175476E1,1.659759521E0
1.984524792E0,-4.257097626E1,-2.628186798E1,2.275833130E0
2.004378792E0,-4.295938110E1,-2.613761902E1,3.893531799E0
2.024232792E0,-4.348534393E1,-2.576684570E1,5.044818878E0
2.044086792E0,-4.365623474E1,-2.546245575E1,6.213775635E0
2.063940792E0,-4.399766541E1,-2.521481323E1,6.489219666E0
2.083793792E0,-4.395764923E1,-2.484096527E1,7.644432068E0
2.103647792E0,-4.470866394E1,-2.437371826E1,8.066905975E0
2.123501792E0,-4.492398834E1,-2.418775940E1,8.037624359E0
2.143355792E0,-4.510824585E1,-2.401743317E1,8.579036713E0
2.163209792E0,-4.528348541E1,-2.389768219E1,8.493415833E0
2.183063792E0,-4.544379425E1,-2.359909821E1,8.804149628E0
2.202916792E0,-4.495665741E1,-2.361451721E1,1.007446289E1
2.222770792E0,-4.469105530E1,-2.362181091E1,1.217307281E1
2.242624792E0,-4.415345001E1,-2.333772278E1,1.502174759E1
2.262478792E0,-4.372042847E1,-2.268028259E1,1.738171768E1
2.282331792E0,-4.311317444E1,-2.234249878E1,1.882398987E1
2.302185792E0,-4.316505432E1,-2.210487366E1,2.038899612E1
2.322039792E0,-4.289377594E1,-2.144072723E1,2.177765656E1
2.341893792E0,-4.281501770E1,-2.110114288E1,2.218950272E1
2.361747792E0,-4.289672089E1,-2.141869354E1,2.169915009E1
2.381601792E0,-4.295224762E1,-2.175879669E1,2.156298828E1
2.401454792E0,-4.309682465E1,-2.169816589E1,2.182944107E1
2.421308792E0,-4.300096130E1,-2.179699707E1,2.214060974E1
2.441162792E0,-4.264337921E1,-2.154011536E1,2.298451996E1
2.461016792E0,-4.214234924E1,-2.140722656E1,2.413206482E1
2.480870792E0,-4.188853455E1,-2.057547760E1,2.628591156E1
2.500723792E0,-4.128643799E1,-1.955603790E1,2.844329834E1
2.520577792E0,-4.075997925E1,-1.814379883E1,3.011173630E1
2.540431792E0,-4.004862213E1,-1.762071228E1,3.190377617E1
2.560286125E0,-3.919773102E1,-1.690705109E1,3.418489075E1
2.580140125E0,-3.770167542E1,-1.625314331E1,3.543840790E1
2.599993125E0,-3.684871674E1,-1.540727234E1,3.702958679E1
2.619847125E0,-3.619442749E1,-1.544460297E1,3.825429535E1
2.639701125E0,-3.511769104E1,-1.533283997E1,3.922403717E1
2.659555125E0,-3.395581055E1,-1.521039581E1,4.020473862E1
2.679409125E0,-3.239752960E1,-1.490464783E1,4.147291565E1
2.699262125E0,-3.238871765E1,-1.435913086E1,4.173947144E1
2.719116125E0,-3.369209290E1,-1.482275391E1,4.062744522E1
2.738970125E0,-3.395810699E1,-1.490289307E1,3.989171982E1
2.758824125E0,-3.362754822E1,-1.462631989E1,4.025400543E1
2.778678125E0,-3.304013062E1,-1.383452606E1,4.131487274E1
2.798531125E0,-3.266977692E1,-1.231941986E1,4.222158051E1
2.818385125E0,-3.302875519E1,-1.095551300E1,4.262571716E1
2.838239125E0,-3.348069763E1,-1.011675262E1,4.289348984E1
2.858093125E0,-3.363665771E1,-9.527191162E0,4.333753967E1
2.877947125E0,-3.342713165E1,-9.370483398E0,4.321815109E1
2.897800125E0,-3.354434204E1,-9.340507507E0,4.362670898E1
2.917654125E0,-3.314085388E1,-9.542884827E0,4.398584747E1
2.937508125E0,-3.216310120E1,-9.329734802E0,4.403633881E1
2.957362125E0,-3.186975098E1,-9.202011108E0,4.489995956E1
2.977216125E0,-3.158873749E1,-9.598083496E0,4.495610809E1
2.997069125E0,-3.154751587E1,-9.891738892E0,4.471685028E1
3.016923125E0,-3.157515717E1,-1.020142365E1,4.501459885E1
3.036777125E0,-3.133129120E1,-9.989845276E0,4.526245117E1
3.056631125E0,-3.039720917E1,-9.510231018E0,4.583491516E1
3.076485125E0,-2.986046600E1,-8.856910706E0,4.651419067E1
3.096338125E0,-2.821266174E1,-7.988044739E0,4.747859573E1
3.116192125E0,-2.686859894E1,-7.136535645E0,4.832962036E1
3.136046125E0,-2.565997314E1,-6.827728271E0,4.931845093E1
3.155900125E0,-2.476963806E1,-6.742485046E0,4.943402100E1
3.175754125E0,-2.399678802E1,-6.748519897E0,4.980599594E1
3.195607125E0,-2.329818726E1,-7.268295288E0,5.012513351E1
3.215461125E0,-2.282031250E1,-7.790870667E0,5.034315491E1
3.235315125E0,-2.260012817E1,-8.134361267E0,5.060596085E1
3.255169125E0,-2.183547974E1,-8.693061829E0,5.051235962E1
3.275023125E0,-2.117061615E1,-9.084251404E0,5.096331406E1
3.294876125E0,-1.998017883E1,-8.855499268E0,5.146168137E1
3.314730125E0,-1.828708649E1,-8.038734436E0,5.213685608E1
3.334584125E0,-1.724699402E1,-7.650894165E0,5.284051514E1
3.354438125E0,-1.639697266E1,-7.241119385E0,5.346711731E1
3.374291125E0,-1.555224609E1,-7.186103821E0,5.361923218E1
3.394145125E0,-1.555126190E1,-7.470741272E0,5.413896942E1
3.413999125E0,-1.555339813E1,-7.619049072E0,5.435498428E1
3.433853125E0,-1.510013580E1,-7.976119995E0,5.460013962E1
3.453707125E0,-1.458413696E1,-8.274169922E0,5.447832489E1
3.473560125E0,-1.422299957E1,-8.548080444E0,5.486047363E1
3.493414125E0,-1.404710388E1,-8.867752075E0,5.509143829E1
3.513268125E0,-1.385630798E1,-9.280487061E0,5.505455017E1
3.533122125E0,-1.379444122E1,-9.460304260E0,5.531428528E1
3.552976125E0,-1.431310272E1,-9.246513367E0,5.534037781E1
3.572828875E0,-1.424562836E1,-9.292510986E0,5.528952026E1
3.592682875E0,-1.349478149E1,-9.261688232E0,5.527662659E1
3.612536875E0,-1.216658020E1,-9.104759216E0,5.575452423E1
3.632390875E0,-1.029203033E1,-8.993766785E0,5.621743011E1
3.652244875E0,-9.358734131E0,-8.420326233E0,5.623155212E1
3.672097875E0,-9.556800842E0,-7.763450623E0,5.602989197E1
3.691951875E0,-1.026303101E1,-7.792404175E0,5.563969421E1
3.711805875E0,-1.024915314E1,-8.887191772E0,5.529179382E1
3.731659875E0,-1.030159760E1,-9.797485352E0,5.517143631E1
3.751513875E0,-1.002547455E1,-1.030753326E1,5.503311157E1
3.771366875E0,-1.006784821E1,-1.046658325E1,5.485690308E1
3.791220875E0,-9.771545410E0,-1.018091583E1,5.532110977E1
