"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748862741910341E9,"2025-06-02 13:12:21.910 UTC+02:00"
"PAUSE",8.166430919999839E2,1.748863558546622E9,"2025-06-02 13:25:58.547 UTC+02:00"
