Time (s),Accelerometer_X (m/s^2)_kalman,Accelerometer_Y (m/s^2)_kalman,Accelerometer_Z (m/s^2)_kalman,Gyroscope_X (rad/s)_kalman,Gyroscope_Y (rad/s)_kalman,Gyroscope_Z (rad/s)_kalman,Linear Accelerometer_X (m/s^2)_kalman,Linear Accelerometer_Y (m/s^2)_kalman,Linear Accelerometer_Z (m/s^2)_kalman,Magnetometer_X (µT)_kalman,Magnetometer_Y (µT)_kalman,Magnetometer_Z (µT)_kalman,Barometer_X (hPa)_kalman
11,8.5711791412,4.5835045531,0.0917262542662,-0.043926749590806,0.0283412849857,0.0031453787413779,-0.15510882062272,0.11305890841756,-0.17920186454448,-6.3351708985,9.27909900662,23.9261256022,1018.492889
12,8.188235455190028,5.2562030766568535,0.6105366831132885,0.09662638394166342,0.09308289132557139,-0.08075384487638151,-0.44011619660233703,0.6775611114089335,0.09622815182670724,-5.710772052410189,10.09258539105278,25.429261195209495,1018.4933424698319
13,8.342228013274008,4.965661446263811,0.6008317744293913,0.10139636261604294,0.10127086635459592,0.014729150276481487,-0.28545703648758963,0.3452010016802698,-0.031437655614452636,-5.989735891123642,10.795507846109246,25.91355996669476,1018.4933448325683
14,8.419372165274687,4.81536079223465,0.6252517025577478,0.07596072054574157,0.06123312661619748,0.004894706794429443,-0.2405241352059767,0.2773289613299497,-0.13166310313115026,-6.696688404967189,11.994793558188618,26.17706901719933,1018.4918250790163
15,8.361936067825377,4.9525214933078505,0.5996804913591121,0.0278319639919431,0.03061409584938644,-0.0031243246042913387,-0.28607955278566255,0.40067450806790017,-0.2236828560249285,-6.773781650441586,12.109224715648873,26.066469466664184,1018.4895865918558
16,8.326354023759007,5.003840049101863,0.44878848159952744,-0.03058993928709556,-0.016383043181723945,0.0007769634657716117,-0.3288793951490228,0.46612962345043096,-0.3677827970285261,-6.275214542573881,11.476937788409975,25.750292667687713,1018.4863576582236
17,8.398330570413076,4.925997766575793,0.3753475148885978,-0.0711845702288442,-0.028190058151140653,-0.0034430874171753143,-0.2822924596566059,0.4369530532207631,-0.438543373166156,-5.685139941060393,10.535623134881416,25.69220127452565,1018.482304382534
18,8.417308824817432,4.857804842646142,0.46236829397686086,-0.07345971043804438,-0.022212430471336832,-0.0002762005463225097,-0.2842695736609945,0.414515716952669,-0.42062976722565654,-5.42620442703751,9.84264528808642,24.744189877407848,1018.4769329038268
19,8.426217963304659,4.7658885459168845,0.7294698477253658,-0.048970032182964085,-0.004750918994208531,0.0028266904297382387,-0.2811135871011158,0.3772024997829124,-0.3028219192533918,-5.33270895045281,9.228155423762562,23.505695076253357,1018.4706364946691
20,8.477340087460629,4.5621815264797565,1.0659727131156238,-0.011231428066757303,0.015432201763314498,0.0076389372285576174,-0.23826110803292413,0.24047043936015008,-0.12548448209567667,-5.4324864801613915,9.029830377157918,22.78118395347688,1018.463959445393
21,8.505374341141582,4.509347770482333,1.0710842845082058,0.01574386457234745,-0.009710804389289385,0.006771398246477888,-0.22075300648406004,0.2073120887460062,-0.13188772837339569,-5.45432142202118,9.201322091132235,22.799535746875083,1018.4559315305518
22,8.496151968797527,4.588167973626656,0.9599844622707203,-0.004009963311017491,0.0017311813794161583,0.0015987286370411323,-0.23627612188301478,0.2818892895424488,-0.19098658351653192,-5.1557807274096135,9.032371545712182,22.936035087823004,1018.4459823851497
23,8.495462277649048,4.592899556771299,0.9383430930321842,-0.011761139732622473,-0.0039461534969499005,0.0025431125027479003,-0.23006945073472662,0.2615214061506646,-0.19681537216024955,-5.197305886679227,8.907606679936244,22.925365547850987,1018.4370223534413
24,8.524517898742827,4.507660596204731,0.9387651818411765,-0.011414682047541501,-0.006923331017109116,0.002574716952987937,-0.2005827183766138,0.18739328911391478,-0.20558423629517011,-5.347707310805991,8.792886928587224,22.842332313495344,1018.4287779092001
