mode,sensor,feature,count,mean,std,min,max
Metro,Linear Accelerometer,X (m/s^2),41157.0,0.0013652299462416375,0.3688542660495999,-8.593103206,21.96790501
Metro,Linear Accelerometer,Y (m/s^2),41157.0,-0.01482995976173871,0.36609038823711315,-17.38810024,6.162736672
Metro,Linear Accelerometer,Z (m/s^2),41157.0,0.027021930908043106,0.3522767269203187,-13.97731878,15.9574959
Metro,Magnetometer,Time (s),41157.0,408.5979291775751,235.9093944481862,0.018996125,817.202646
Metro,Magnetometer,X (µT),41157.0,2.399413326512253,29.703174327352457,-92.80664825,129.2573242
Metro,Magnetometer,Y (µT),41157.0,-16.94617339283526,49.93997524109604,-322.1634827,131.1309357
Metro,Magnetometer,Z (µT),41157.0,3.525547903748067,36.00640104665461,-118.0773544,100.5577698
Metro,Barometer,Time (s),767.0,406.30304624533903,235.96496970374724,-0.556788375,814.2869386
Metro,Barometer,X (hPa),767.0,1007.7546844080834,0.23926893393488954,1006.844406,1008.368454
Train,Accelerometer,Time (s),40710.0,408.31178330453656,235.75017110131037,0.0008614583057,816.6158692
Train,Accelerometer,X (m/s^2),40710.0,9.237650641402812,0.9400468470776627,-4.689298553,16.67682037
Train,Accelerometer,Y (m/s^2),40710.0,0.8478064100682231,0.6057346300330451,-12.36533615,10.74405762
Train,Accelerometer,Z (m/s^2),40710.0,-3.046393882248975,1.0744128232705243,-18.49434082,14.68760696
Train,Gyroscope,Time (s),40715.0,408.31583226839007,235.74238256059033,0.01339645832,816.6183762
Train,Gyroscope,X (rad/s),40715.0,0.0009881969168036154,0.14329920067390195,-4.909092426,4.062484264
Train,Gyroscope,Y (rad/s),40715.0,-0.0015925675875150752,0.15636985062271322,-5.126072884,8.61299324
Train,Gyroscope,Z (rad/s),40715.0,-0.0008836027350467886,0.13455496253928995,-3.599347115,7.937457085
Train,Linear Accelerometer,Time (s),40715.0,408.31583226839007,235.74238256059033,0.01339645832,816.6183762
Train,Linear Accelerometer,X (m/s^2),40715.0,0.057427843666020856,0.4487089941447163,-7.782904235,7.438199177
Train,Linear Accelerometer,Y (m/s^2),40715.0,0.011009404520645572,0.2386151434003712,-7.658932738,6.774242578
Train,Linear Accelerometer,Z (m/s^2),40715.0,-0.010507739251698792,0.3567586587054645,-10.27771644,7.558072361
Train,Magnetometer,Time (s),40715.0,408.31583226839007,235.74238256059033,0.01339645832,816.6183762
Train,Magnetometer,X (µT),40715.0,61.265127654503445,201.98656164445117,-828.2764893,927.0703125
Train,Magnetometer,Y (µT),40715.0,-29.858427700164114,206.21930979976545,-1029.499268,800.8703613
Train,Magnetometer,Z (µT),40715.0,20.915262446051532,130.0584054679095,-1455.858765,708.0123291
Train,Barometer,Time (s),762.0,406.10758152274747,235.81378831504168,-0.5600219167,813.7649261
Train,Barometer,X (hPa),762.0,1016.4134532454068,0.37594185394885726,1015.382156,1017.540054
Running,Accelerometer,Time (s),64519.0,647.3478849755622,373.7511855978113,0.01126858336,1294.690607
Running,Accelerometer,X (m/s^2),64519.0,3.0733114702213977,14.117530505616884,-79.70475311,57.21462158
Running,Accelerometer,Y (m/s^2),64519.0,-12.331874196821985,14.075794550862328,-74.01209106,18.70136032
Running,Accelerometer,Z (m/s^2),64519.0,2.3955170196296143,7.841256742261233,-48.80885147,64.54622543
Running,Gyroscope,Time (s),64519.0,647.3503937080305,373.7511856401193,0.01377758337,1294.693115
Running,Gyroscope,X (rad/s),64519.0,-0.018604456505624596,0.8555187407610274,-3.62158823,5.486455917
Running,Gyroscope,Y (rad/s),64519.0,0.058334662722570846,1.9870636736011325,-9.391112328,11.06154919
Running,Gyroscope,Z (rad/s),64519.0,-0.018086432689681374,3.8137558166113847,-9.218755722,8.144906044
Running,Linear Accelerometer,Time (s),64519.0,647.3503937080305,373.7511856401193,0.01377758337,1294.693115
Running,Linear Accelerometer,X (m/s^2),64519.0,0.8778577356815119,16.121277284619936,-84.07160345,50.78277324
Running,Linear Accelerometer,Y (m/s^2),64519.0,-3.737186651509737,13.868118455907926,-58.01280394,29.07913432
Running,Linear Accelerometer,Z (m/s^2),64519.0,0.5148282440927004,7.873094915425044,-50.92596921,69.17279038
Running,Magnetometer,Time (s),64519.0,647.3503937080305,373.7511856401193,0.01377758337,1294.693115
Running,Magnetometer,X (µT),64519.0,-12.909436084662053,19.15372759232419,-56.91784286,45.45030212
Running,Magnetometer,Y (µT),64519.0,36.85495294195,8.186668745903908,-15.58789825,62.83039856
Running,Magnetometer,Z (µT),64519.0,-13.085750103103548,13.27393150211293,-50.3682251,18.67164612
Running,Barometer,Time (s),1215.0,645.0284188997645,373.7625114004845,-0.5434549167,1291.609775
Running,Barometer,X (hPa),1215.0,1006.2023613621399,0.04983195854301579,1006.02356,1006.304169
