"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.154894459E1,5.232641453E1,4.973625607E0,-1.598974563E0,3.147144304E0,2.721756477E1,4.589183701E0,3.221287042E0
4.254894471E1,5.232644408E1,4.973641736E0,-2.051622297E0,3.208273670E0,2.431604936E1,4.676333293E0,3.375878679E0
4.354894519E1,5.232646451E1,4.973673011E0,-1.685683860E0,3.026904194E0,3.128990127E1,4.646250416E0,3.529161336E0
4.454894447E1,5.232649383E1,4.973705491E0,-1.718952140E0,3.334693126E0,3.359813748E1,4.642137905E0,3.626625443E0
4.554894495E1,5.232651903E1,4.973732740E0,-1.161320639E0,3.282330313E0,3.472685915E1,4.626850341E0,3.572404532E0
4.654894471E1,5.232653474E1,4.973772929E0,-1.462720996E0,3.144374144E0,4.337893034E1,4.660469316E0,3.492017024E0
4.754894423E1,5.232655123E1,4.973819733E0,-1.665556663E0,3.230781732E0,5.345239663E1,4.642195773E0,3.434606121E0
4.854894400E1,5.232655840E1,4.973857102E0,-7.662745919E-1,2.823067906E0,6.146559285E1,4.660399082E0,3.506704330E0
4.954894364E1,5.232657258E1,4.973904095E0,-1.547353474E0,3.018695518E0,6.523282833E1,4.644770302E0,3.330170659E0
5.054894328E1,5.232658848E1,4.973954939E0,-1.744815225E0,3.310787205E0,6.503631366E1,4.623567363E0,3.269935763E0
5.154894328E1,5.232660045E1,4.973992793E0,-1.548513518E0,3.127179475E0,6.639407511E1,4.607315649E0,3.079034118E0
5.254894280E1,5.232662877E1,4.974019131E0,-2.141968616E0,3.157239680E0,5.181731745E1,4.543384247E0,3.081714821E0
5.354894269E1,5.232664185E1,4.974064504E0,-2.573590367E0,3.187825720E0,5.443954389E1,4.537982340E0,3.100707891E0
5.454894221E1,5.232665237E1,4.974111210E0,-2.260678774E0,3.135683007E0,5.967768834E1,4.562096123E0,3.080577448E0
5.554894173E1,5.232667231E1,4.974154433E0,-1.875655853E0,3.277605462E0,5.746702196E1,4.502618032E0,3.018390690E0
5.654894137E1,5.232667328E1,4.974203127E0,-2.052454586E0,3.168791682E0,6.596790923E1,4.576298274E0,3.062105263E0
5.754894018E1,5.232668578E1,4.974241475E0,-2.303814508E0,3.008798309E0,6.582679212E1,4.518114599E0,3.043185674E0
5.854893994E1,5.232669906E1,4.974290027E0,-2.141938962E0,3.209990162E0,6.652058035E1,4.553795350E0,3.000000000E0
5.954893970E1,5.232670945E1,4.974340912E0,-2.012720383E0,3.340578734E0,6.976408017E1,4.577190495E0,3.389832293E0
6.054893935E1,5.232672363E1,4.974380197E0,-1.853640618E0,3.213940602E0,6.658168893E1,4.595725110E0,3.422996620E0
6.154893816E1,5.232673315E1,4.974433281E0,-1.735859084E0,3.413083343E0,6.860502410E1,4.620808159E0,3.373704328E0
6.254893804E1,5.232673694E1,4.974461681E0,-2.575100741E0,2.872324577E0,7.311915797E1,4.640589136E0,3.364114616E0
6.354893768E1,5.232675511E1,4.974499110E0,-2.320487651E0,2.945222387E0,6.490478493E1,4.657892954E0,3.357407726E0
6.454893661E1,5.232677137E1,4.974544380E0,-2.634189633E0,3.230142587E0,6.063542477E1,4.705303904E0,3.358848450E0
6.554893613E1,5.232678369E1,4.974589139E0,-1.772951897E0,3.299812002E0,6.167120058E1,4.582915640E0,3.395423009E0
6.654893541E1,5.232679519E1,4.974636698E0,-1.813771457E0,3.386981132E0,6.442002048E1,4.558559423E0,3.326561062E0
6.754893494E1,5.232681129E1,4.974677755E0,-2.072472272E0,3.330714637E0,6.223438675E1,4.467737312E0,3.100044647E0
6.854893386E1,5.232682287E1,4.974706703E0,-2.358846273E0,2.789840138E0,5.987965423E1,4.568551583E0,3.000000000E0
6.954893327E1,5.232683934E1,4.974740730E0,-2.576292191E0,2.785627322E0,5.583651421E1,4.734634045E0,3.000000000E0
7.054893243E1,5.232685006E1,4.974786833E0,-2.518623896E0,2.864410816E0,5.985830215E1,4.705811062E0,3.000000000E0
7.154893231E1,5.232686895E1,4.974828371E0,-3.025336385E0,3.066505440E0,6.242937428E1,4.733097252E0,3.000000000E0
7.254893100E1,5.232686542E1,4.974883998E0,-2.526617046E0,3.117250555E0,7.676389876E1,4.692406675E0,3.000000000E0
7.354893088E1,5.232685291E1,4.975000688E0,-3.197199432E0,4.893241798E0,9.136465623E1,4.789488734E0,3.000000000E0
7.454893017E1,5.232684186E1,4.975011647E0,-3.623604538E0,3.299754299E0,1.034098839E2,4.734186598E0,3.000000000E0
7.554892886E1,5.232684600E1,4.975048012E0,-3.037686929E0,2.972468915E0,9.770292307E1,4.662864560E0,3.192449523E0
7.654892838E1,5.232684847E1,4.975087132E0,-2.028395222E0,2.861032745E0,9.035892161E1,4.652600358E0,3.286842722E0
7.754892802E1,5.232686367E1,4.975129558E0,-2.557975778E0,2.984150550E0,7.694045477E1,4.597815912E0,3.334677921E0
7.854892743E1,5.232688245E1,4.975175745E0,-2.793504875E0,3.299591587E0,6.350633195E1,4.626811502E0,3.242390464E0
7.954892576E1,5.232690018E1,4.975216182E0,-1.853403265E0,3.290124914E0,5.899718466E1,4.601339290E0,3.301398668E0
8.054892540E1,5.232691448E1,4.975252118E0,-1.041490147E0,3.146450261E0,5.850190642E1,4.645552979E0,3.328455703E0
8.154892516E1,5.232693293E1,4.975285674E0,-1.447903243E0,3.053853262E0,5.475267037E1,4.770064136E0,3.417813090E0
8.254892397E1,5.232694898E1,4.975322972E0,-1.836530672E0,2.938973527E0,5.384995590E1,4.780960223E0,3.129703865E0
8.354892290E1,5.232697642E1,4.975355785E0,-1.681428267E0,3.223578481E0,4.694201797E1,4.767510047E0,3.125161764E0
8.454892254E1,5.232699699E1,4.975400925E0,-8.480428308E-1,3.432070606E0,4.908258387E1,4.736900501E0,3.192649503E0
