"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749023213451036E9,"2025-06-04 09:46:53.451 UTC+02:00"
"PAUSE",1.294703472583322E3,1.749024508153984E9,"2025-06-04 10:08:28.154 UTC+02:00"
