"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.508522250E0,3.171588778E-1,-5.233390927E-1,3.893000260E-2
1.528588250E0,2.243951261E-1,-5.361289382E-1,8.320935071E-2
1.548655250E0,-2.038695849E-2,-3.812942505E-1,7.371329516E-2
1.568721250E0,-3.195536137E-1,-1.568286121E-1,1.690292060E-1
1.588788250E0,-5.676679611E-1,8.127707243E-2,2.383606434E-1
1.608854250E0,-5.603406429E-1,3.197653592E-1,2.876213789E-1
1.628921250E0,-5.937164426E-1,2.445529938E0,5.561646819E-1
1.648987250E0,-6.191470623E-1,1.533785582E0,1.623481810E-1
1.669054250E0,-6.226997450E-2,5.826837420E-1,1.607151181E-1
1.689120250E0,2.936710119E-1,-9.999444336E-2,1.544457674E-1
1.709187250E0,3.548279703E-1,-2.546240389E-1,1.228334978E-1
1.729253250E0,4.598762989E-1,1.178663015E0,4.172832370E-1
1.749320250E0,1.002182364E-1,1.259644508E0,6.372129321E-1
1.769386250E0,-1.800952256E-1,9.386596680E-1,3.589640260E-1
1.789453250E0,-1.630735397E-1,4.549998343E-1,7.454898953E-2
1.809519250E0,-5.399430171E-2,-2.099457756E-2,-1.511746645E-1
1.829586250E0,-4.994684458E-2,-2.886982448E-2,-2.294393033E-1
1.849652250E0,-3.199988306E-1,-8.034246415E-2,-2.794445753E-1
1.869720125E0,-3.575325608E-1,-1.698647141E-1,-4.211342335E-1
1.889786125E0,-2.047279030E-1,-2.317636758E-1,-5.071091652E-1
1.909853125E0,-3.399955481E-2,-4.080396891E-2,-5.200781822E-1
1.929919125E0,-1.828667074E-1,2.978049591E-2,-4.072376192E-1
1.949986125E0,-1.099481940E0,-4.267077744E-1,-1.534884870E-1
1.970052125E0,-1.962457538E0,5.386707783E-1,3.964470923E-1
1.990119125E0,-2.463872671E0,1.282746673E0,5.169039965E-1
2.010185125E0,-2.461919785E0,1.150539756E0,6.031699181E-1
2.030252125E0,-1.978204250E0,9.164727926E-1,8.239228129E-1
2.050318125E0,-1.209515572E0,3.223508596E-1,1.216400027E0
2.070385125E0,-1.710609645E-1,4.929687679E-1,1.394353032E0
2.090451125E0,9.835034609E-1,1.124964714E0,1.151124597E0
2.110517125E0,1.858112812E0,1.151304483E0,3.487485349E-1
2.130584125E0,2.380445480E0,7.297765017E-1,-3.270570338E-1
2.150650125E0,2.703085184E0,3.832926154E-1,-5.373647809E-1
2.170717125E0,2.057976246E0,-4.557541907E-1,-8.496139646E-1
2.190783125E0,7.357800007E-1,-8.322871327E-1,-6.766486764E-1
2.210850125E0,2.716771662E-1,-3.222251534E-1,-6.174638867E-1
2.230916125E0,3.518691957E-1,-1.201159596E0,-5.194836855E-1
2.250983125E0,4.094252288E-1,-1.361414194E0,-6.863726377E-1
2.271049125E0,2.427363247E-1,-1.587732434E0,-5.489172339E-1
2.291116125E0,-2.405395061E-1,-1.607416391E0,-5.664764047E-1
2.311182125E0,-6.929774880E-1,-1.654150605E0,-7.583568096E-1
2.331249125E0,-1.027968168E0,-2.353856087E0,-7.803124785E-1
2.351315125E0,-8.408980966E-1,-2.879632711E0,-8.813516498E-1
2.371382125E0,-8.490396738E-1,-2.727746725E0,-8.176864982E-1
2.391448125E0,-1.005825520E0,-1.859493375E0,-1.045819223E-1
2.411515125E0,-1.082875967E0,-1.200940132E0,3.199805617E-1
2.431581125E0,-7.027148008E-1,-4.678465128E-1,7.477440834E-1
2.451648125E0,-1.392790824E-1,-6.328907013E-1,1.087248325E0
2.471714125E0,5.441176891E-1,-1.472238660E0,1.325457096E0
2.491781125E0,1.332743287E0,-1.997215033E0,1.425656915E0
2.511847125E0,1.768626094E0,-2.455430269E0,1.541767716E0
2.531914125E0,2.040101051E0,-2.309592247E0,1.475069046E0
2.551980125E0,1.985801578E0,-2.117171526E0,1.347412348E0
2.572047125E0,1.760452151E0,-2.025981188E0,1.479045153E0
2.592113125E0,1.840672731E0,-1.629570246E0,1.611876130E0
2.612180125E0,1.960292935E0,-1.492676139E0,1.596317410E0
2.632246125E0,2.042723656E0,-1.518021226E0,1.518879414E0
2.652313125E0,1.979656339E0,-1.426378250E0,1.513798594E0
2.672379125E0,1.884195924E0,-1.168097138E0,1.717558742E0
2.692446125E0,1.932642102E0,-1.067879438E0,1.977638602E0
2.712512125E0,1.879876614E0,-9.171236753E-1,1.916218996E0
2.732579125E0,1.607014775E0,-9.674228430E-1,1.787941456E0
2.752645125E0,1.429544687E0,-1.106855512E0,1.705562353E0
2.772712125E0,1.409024477E0,-1.215313554E0,1.777076960E0
2.792778125E0,1.369577527E0,-9.779863954E-1,1.725980282E0
2.812845125E0,1.149697304E0,-1.315606952E0,1.553215861E0
2.832911125E0,7.454450727E-1,-2.062062025E0,1.193728328E0
2.852978125E0,1.538897902E-1,-1.376277328E0,1.009949923E0
2.873044208E0,-2.034494132E-1,-8.209795952E-1,9.525519013E-1
2.893111208E0,-2.262320817E-1,-5.413104892E-1,7.037672400E-1
2.913177208E0,-3.089794815E-1,-3.940359354E-1,6.464557648E-1
2.933244208E0,-4.066001177E-1,-3.204898536E-1,5.897297263E-1
2.953310208E0,-3.212904632E-1,-4.701546729E-1,4.679760635E-1
2.973377208E0,-1.615010798E-1,-6.812402606E-1,3.825400770E-1
2.993443208E0,-1.404410154E-1,-8.649545908E-1,4.044002593E-1
3.013510208E0,-1.216039434E-1,-4.699212313E-1,5.183058381E-1
3.033576208E0,-2.242796868E-2,-6.019576192E-1,5.855277181E-1
3.053643208E0,1.077973321E-1,-7.860031128E-1,5.053724647E-1
3.073709208E0,-6.675878167E-2,-3.921313584E-1,1.805266738E-1
3.093776208E0,-2.959890962E-1,1.106586531E-1,-1.221497580E-1
3.113842208E0,-3.072708547E-1,4.664191008E-1,-3.464744985E-1
3.133909208E0,-2.225151658E-1,6.180125475E-1,-3.939470351E-1
3.153975208E0,-2.695328295E-1,4.930226207E-1,-2.643899918E-1
3.174042208E0,-3.175548017E-1,2.444235384E-1,-1.773789972E-1
3.194108208E0,-1.336104125E-1,-8.391766995E-2,-2.683962882E-1
3.214175208E0,-7.244085521E-2,-8.352968097E-2,-3.734942377E-1
3.234241208E0,-9.765099734E-2,4.655908328E-3,-4.328629971E-1
3.254308208E0,-1.013135463E-1,1.324033886E-1,-3.693779707E-1
3.274375208E0,-9.643196315E-2,3.374953195E-2,-2.479735315E-1
