"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750083412426700E9,"2025-06-16 16:16:52.427 UTC+02:00"
"PAUSE",8.455638320415746E2,1.750084257994280E9,"2025-06-16 16:30:57.994 UTC+02:00"
