"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.833725667E0,-1.442009735E1,-1.102259636E1,-3.548576355E1
1.853791667E0,-1.472937775E1,-1.063057137E1,-3.544178772E1
1.873857667E0,-1.518430328E1,-1.073924637E1,-3.500517273E1
1.893923667E0,-1.568511963E1,-1.021096802E1,-3.535913086E1
1.913990667E0,-1.651146698E1,-1.013221169E1,-3.528298950E1
1.934056667E0,-1.720202637E1,-9.713356018E0,-3.447988892E1
1.954122667E0,-1.835498047E1,-9.849481583E0,-3.405917358E1
1.974188667E0,-1.937322235E1,-1.010809898E1,-3.315538025E1
1.994255667E0,-2.024288177E1,-1.062100601E1,-3.286138916E1
2.014321667E0,-2.111364746E1,-1.105889320E1,-3.293489075E1
2.034387667E0,-2.167738342E1,-1.134487915E1,-3.311468506E1
2.054453667E0,-2.253270721E1,-1.102458954E1,-3.279846191E1
2.074520667E0,-2.360327148E1,-9.793542862E0,-3.281832886E1
2.094586667E0,-2.490456390E1,-8.048866272E0,-3.258496094E1
2.114652667E0,-2.643038940E1,-5.661821365E0,-3.243049622E1
2.134718667E0,-2.837916565E1,-3.499624252E0,-3.202539062E1
2.154785667E0,-3.051509857E1,-5.391998291E-1,-3.124752808E1
2.174851667E0,-3.280090332E1,3.799407959E0,-3.022033691E1
2.194917667E0,-3.509234619E1,9.268001556E0,-2.814926147E1
2.214983667E0,-3.598678589E1,1.582553482E1,-2.488810730E1
2.235050667E0,-3.551512909E1,2.190850830E1,-2.056480408E1
2.255116667E0,-3.336571503E1,2.757554245E1,-1.545982361E1
2.275182667E0,-3.084681702E1,3.141383362E1,-1.031016541E1
2.295248667E0,-2.834455109E1,3.354359818E1,-5.858909607E0
2.315315667E0,-2.606629181E1,3.439383698E1,-3.707969666E0
2.335381667E0,-2.400614166E1,3.452867889E1,-1.324478149E0
2.355447667E0,-2.211274719E1,3.443029785E1,-3.885574341E-1
2.375513667E0,-2.018942261E1,3.403966522E1,7.895050049E-1
2.395580667E0,-1.900579834E1,3.401424408E1,2.028907776E0
2.415646667E0,-1.891649628E1,3.367273331E1,2.221374512E0
2.435712667E0,-1.937161255E1,3.365118790E1,2.377662659E0
2.455778667E0,-1.919716644E1,3.368330002E1,2.884689331E0
2.475845667E0,-1.844319153E1,3.433623505E1,3.805091858E0
2.495911667E0,-1.795283508E1,3.429622650E1,4.313110352E0
2.515977667E0,-1.758638763E1,3.367642975E1,4.766632080E0
2.536043667E0,-1.556983948E1,3.424949646E1,6.356025696E0
2.556110667E0,-1.180584717E1,3.406742096E1,7.795570374E0
2.576176667E0,-1.008339691E1,3.391441727E1,8.342910767E0
2.596242667E0,-1.123513031E1,3.377124023E1,8.277595520E0
2.616308667E0,-1.165306854E1,3.355030823E1,8.114135742E0
2.636375667E0,-1.201385498E1,3.339043808E1,7.876960754E0
2.656441667E0,-1.206161499E1,3.312053299E1,7.911964417E0
2.676507667E0,-1.230838013E1,3.297517776E1,8.020347595E0
2.696573667E0,-1.240436554E1,3.294844437E1,8.455123901E0
2.716640667E0,-1.247269440E1,3.256591034E1,9.173942566E0
2.736706667E0,-1.287447357E1,3.259151077E1,9.870033264E0
2.756772667E0,-1.331343842E1,3.248951721E1,1.034758759E1
2.776839667E0,-1.108132935E1,3.267072678E1,1.070207977E1
2.796905667E0,-4.439079285E0,3.294117355E1,1.250108337E1
2.816971667E0,-2.980575562E-1,3.466584778E1,1.321509552E1
2.837037667E0,2.976989746E-1,3.284523010E1,1.175962067E1
2.857104667E0,1.030258179E0,3.130070877E1,1.175384521E1
2.877170667E0,1.402191162E0,3.107247543E1,1.189572144E1
2.897236667E0,1.427139282E0,3.072265625E1,1.159408569E1
2.917302667E0,1.044837952E0,3.063345337E1,1.169743347E1
2.937369667E0,7.072067261E-1,3.054880524E1,1.126163483E1
2.957435667E0,3.985595703E-1,3.075038147E1,1.113391113E1
2.977501667E0,2.264251709E-1,3.057922745E1,1.114772034E1
2.997567667E0,6.859588623E-2,3.063165283E1,1.134327698E1
3.017634667E0,3.437042236E-2,3.062159729E1,1.085508728E1
3.037700667E0,-2.769470215E-2,3.045077515E1,1.108937073E1
3.057766667E0,-6.082839966E-1,2.997290421E1,1.121797943E1
3.077833667E0,-1.318748474E0,2.991729355E1,1.095249176E1
3.097899667E0,-2.545608521E0,2.966856384E1,1.016037750E1
